member_id,group_id,arm,X,base_rate,design_arm,objective,rr_penalty,tag_mix,tag_post,agg_F,agg_F_final,agg_F_Fmsy,agg_F_Fmsy_final,SB_SBmsy,SB_SBmsy_final,SB_recent,SB_recent_final,MSY,F_at_MSY,SB_msy,seconds,ok
2,17,include,0.6888888888888889,0.762999992752251,exclude,90738.6765835717,66.4074629828,1476.9898170005438,5662.445565182344,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.722888231277466,1
2,17,include,0.7444444444444445,0.762999992752251,exclude,90711.9587605054,83.209205205,1476.4147217190873,5619.41741769003,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.182080745697021,1
2,17,include,0.8,0.762999992752251,exclude,90707.8778038977,104.57391039,1476.3090883586312,5593.993315770508,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.025228261947632,1
2,17,include,0.8462500000000001,0.762999992752251,exclude,90719.6750650443,125.84055579,1476.4117812222769,5584.353121400737,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,12.771362543106079,1
2,17,include,0.8925000000000001,0.762999992752251,exclude,90743.9048210589,150.26959119,1476.6033362823812,5583.897460499536,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.96847414970398,1
2,17,include,0.93875,0.762999992752251,exclude,90779.3129348444,177.86101659,1476.84960253847,5591.405800458847,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.963942289352417,1
2,17,include,0.985,0.762999992752251,exclude,90825.0516615876,208.61483199,1477.1270929331704,5606.053744534377,0.04184,0.04651,0.799925,0.8892,1.6502500000000002,1.592,604826.25,583412.0,33310.0,0.0523,366500.0,11.770146369934082,1
10,7,exclude,0.3,0.65733034379612,exclude,91343.4824223276,116.536675717,1084.6280232766628,6880.401294295274,0.0655125,0.07009,0.814675,0.8716,1.3655,1.274,229153.0,213831.0,40130.0,0.08042,167800.0,11.875353336334229,1
10,7,exclude,0.3555555555555555,0.65733034379612,exclude,91315.5621308977,109.902711519,1063.776087385121,6879.966902936498,0.0655125,0.07009,0.814675,0.8716,1.3655,1.274,229153.0,213831.0,40130.0,0.08042,167800.0,12.017535924911499,1
10,7,exclude,0.4111111111111111,0.65733034379612,exclude,91293.7297133476,105.457018927,1046.7493278329155,6879.606937512479,0.0655125,0.07009,0.814675,0.8716,1.3655,1.274,229153.0,213831.0,40130.0,0.08042,167800.0,11.931859731674194,1
