screen,member_id,arm,unit,is_priored,value,threshold,slack,flagged,note
upper-bound,24,exclude,group 6,0,0.743948,0.99,0.246052,0,
upper-bound,24,exclude,group 7,1,0.657652,0.99,0.332348,0,
upper-bound,24,exclude,group 10,1,0.569573,0.99,0.420427,0,
upper-bound,24,exclude,group 13,0,0.619188,0.99,0.370812,0,
upper-bound,24,exclude,group 14,1,0.508681,0.99,0.481319,0,
upper-bound,24,exclude,group 17,1,0.781863,0.99,0.208137,0,
upper-bound,24,exclude,group 18,1,0.884181,0.99,0.105819,0,
upper-bound,24,exclude,group 19,0,0.836901,0.99,0.153099,0,
upper-bound,24,exclude,group 20,0,0.208621,0.99,0.781379,0,
upper-bound,24,exclude,group 23,0,0.99,0.99,9.62654e-10,1,at upper bound
upper-bound,24,exclude,group 29,0,0.150161,0.99,0.839839,0,
upper-bound,25,include,group 1,0,0.211687,0.99,0.778313,0,
upper-bound,25,include,group 6,0,0.336607,0.99,0.653393,0,
upper-bound,25,include,group 7,1,0.521766,0.99,0.468234,0,
upper-bound,25,include,group 10,1,0.550199,0.99,0.439801,0,
upper-bound,25,include,group 13,0,0.444629,0.99,0.545371,0,
upper-bound,25,include,group 14,1,0.501982,0.99,0.488018,0,
upper-bound,25,include,group 17,1,0.704935,0.99,0.285065,0,
upper-bound,25,include,group 18,1,0.768411,0.99,0.221589,0,
upper-bound,25,include,group 19,0,0.432164,0.99,0.557836,0,
upper-bound,25,include,group 20,0,0.11075,0.99,0.87925,0,
upper-bound,25,include,group 23,0,0.99,0.99,1.6235e-09,1,at upper bound
upper-bound,25,include,group 29,0,0.128518,0.99,0.861482,0,
upper-bound,27,include,group 1,0,0.268394,0.99,0.721606,0,
upper-bound,27,include,group 6,0,0.406258,0.99,0.583742,0,
upper-bound,27,include,group 7,1,0.520708,0.99,0.469292,0,
upper-bound,27,include,group 10,1,0.590382,0.99,0.399618,0,
upper-bound,27,include,group 13,0,0.755507,0.99,0.234493,0,
upper-bound,27,include,group 14,1,0.501047,0.99,0.488953,0,
upper-bound,27,include,group 17,1,0.782891,0.99,0.207109,0,
upper-bound,27,include,group 18,1,0.83878,0.99,0.15122,0,
upper-bound,27,include,group 19,0,0.731151,0.99,0.258849,0,
upper-bound,27,include,group 20,0,0.182109,0.99,0.807891,0,
upper-bound,27,include,group 23,0,0.99,0.99,3.23139e-09,1,at upper bound
upper-bound,27,include,group 29,0,0.134804,0.99,0.855196,0,
upper-bound,29,include,group 1,0,0.250235,0.99,0.739765,0,
upper-bound,29,include,group 6,0,0.431946,0.99,0.558054,0,
upper-bound,29,include,group 7,1,0.517177,0.99,0.472823,0,
upper-bound,29,include,group 10,1,0.597248,0.99,0.392752,0,
upper-bound,29,include,group 13,0,0.767984,0.99,0.222016,0,
upper-bound,29,include,group 14,1,0.501421,0.99,0.488579,0,
upper-bound,29,include,group 17,1,0.797923,0.99,0.192077,0,
upper-bound,29,include,group 18,1,0.830526,0.99,0.159474,0,
upper-bound,29,include,group 19,0,0.705948,0.99,0.284052,0,
upper-bound,29,include,group 20,0,0.169943,0.99,0.820057,0,
upper-bound,29,include,group 23,0,0.99,0.99,3.35312e-09,1,at upper bound
upper-bound,29,include,group 29,0,0.14399,0.99,0.84601,0,
upper-bound,30,exclude,group 1,0,0.439474,0.99,0.550526,0,
upper-bound,30,exclude,group 6,0,0.89652,0.99,0.0934795,0,
upper-bound,30,exclude,group 7,1,0.665109,0.99,0.324891,0,
upper-bound,30,exclude,group 10,1,0.60687,0.99,0.38313,0,
upper-bound,30,exclude,group 13,0,0.804567,0.99,0.185433,0,
upper-bound,30,exclude,group 14,1,0.505077,0.99,0.484923,0,
upper-bound,30,exclude,group 17,1,0.860301,0.99,0.129699,0,
upper-bound,30,exclude,group 18,1,0.986574,0.99,0.00342638,0,
upper-bound,30,exclude,group 19,0,0.99,0.99,8.45448e-09,1,at upper bound
upper-bound,30,exclude,group 20,0,0.317883,0.99,0.672117,0,
