member_id,arm,is_exclude,K,M0,h,tau,creep,penalty,mean_mixing,rel_wt_mean_mixing,n_zero_mixing,max_mixing,n_mix_0,n_mix_1,n_mix_2,n_mix_3,n_mix_4,log_penalty
81,exclude,1.0,0.25,0.0594651533087019,0.73849166020729,1.3,0.01,61.1515464388,1.4591836734693877,1.1466755165724087,6,4,6,59,23,2,8,4.113355151082423
82,exclude,1.0,0.25,0.104052374360553,0.966535374448689,1.4,0.01,113.439521419,1.4591836734693877,1.1466755165724087,6,4,6,59,23,2,8,4.731269843972027
84,exclude,1.0,0.3,0.0819613371903662,0.92264985972879,1.2,0.015,63.5513472755,1.153061224489796,0.8800398528096938,14,4,14,72,3,1,8,4.151848197654643
85,exclude,1.0,0.3,0.112000040308056,0.877862199777685,1.3,0.025,120.10148117,1.153061224489796,0.8800398528096938,14,4,14,72,3,1,8,4.788337061815884
86,include,0.0,0.1,0.132751390482353,0.776541521221879,1.3,0.025,196.441648195,3.5918367346938775,3.0689570955077046,0,4,0,7,6,7,78,5.28036543145859
87,exclude,1.0,0.05,0.083421424528535,0.897829395889862,1.2,0.015,156.317514637,3.857142857142857,3.5330674399859716,0,4,0,2,2,4,90,5.051889288967721
88,exclude,1.0,0.2,0.07835064832601,0.837789115487901,1.2,0.005,98.4083242183,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,4.589125396194623
89,include,0.0,0.3,0.0908042689184139,0.911509558640356,1.3,0.025,61.9514781522,1.153061224489796,0.8800398528096938,14,4,14,72,3,1,8,4.126351468197276
90,exclude,1.0,0.15,0.0611667686075504,0.971919445177731,1.2,0.025,121.174915549,3.13265306122449,2.32684621634885,1,4,1,13,11,20,53,4.797235084797011
91,exclude,1.0,0.15,0.0976896872914599,0.931251594371582,1.2,0.005,139.580903205,3.13265306122449,2.32684621634885,1,4,1,13,11,20,53,4.938644384444986
92,include,0.0,0.05,0.102829454874771,0.919387221669363,1.3,0.015,135.486937239,3.857142857142857,3.5330674399859716,0,4,0,2,2,4,90,4.908875231532356
93,exclude,1.0,0.25,0.063982569948508,0.87304061579763,1.3,0.025,63.1825032329,1.4591836734693877,1.1466755165724087,6,4,6,59,23,2,8,4.14602741524275
94,include,0.0,0.15,0.0572276723066398,0.864689513975004,1.4,0.005,44.2895431723,3.13265306122449,2.32684621634885,1,4,1,13,11,20,53,3.790748603415893
95,include,0.0,0.05,0.0652481899820389,0.896320385354245,1.2,0.02,73.3771232123,3.857142857142857,3.5330674399859716,0,4,0,2,2,4,90,4.295612214183443
98,exclude,1.0,0.3,0.0680363469504489,0.861210831534553,1.4,0.02,34.8049116587,1.153061224489796,0.8800398528096938,14,4,14,72,3,1,8,3.549758516438986
99,exclude,1.0,0.2,0.0734463406081054,0.833276325452964,1.3,0.01,88.662867698,1.9489795918367347,1.4718078912387256,2,4,2,21,64,2,9,4.4848411736844165
