member_id,arm,K,group_id,n_in_window,n_recaptured,psi
56,exclude,0.2,19,5.0,59.0,0.0847457627118644
56,exclude,0.2,20,0.0,10.0,0.0
56,exclude,0.2,29,18.0,18.0,1.0
57,exclude,0.2,7,320.0,322.0,0.9937888198757764
57,exclude,0.2,10,175.0,298.0,0.587248322147651
57,exclude,0.2,6,45.0,47.0,0.9574468085106383
57,exclude,0.2,1,162.0,414.0,0.391304347826087
57,exclude,0.2,11,0.0,0.0,
57,exclude,0.2,2,0.0,0.0,
57,exclude,0.2,17,1210.0,3467.0,0.3490049033746755
57,exclude,0.2,18,1264.0,3117.0,0.4055181264035932
57,exclude,0.2,14,5.0,6.0,0.8333333333333334
57,exclude,0.2,13,116.0,129.0,0.8992248062015504
57,exclude,0.2,16,0.0,0.0,
57,exclude,0.2,23,285.0,372.0,0.7661290322580645
57,exclude,0.2,19,5.0,59.0,0.0847457627118644
57,exclude,0.2,20,0.0,10.0,0.0
57,exclude,0.2,29,18.0,18.0,1.0
62,include,0.25,7,320.0,322.0,0.9937888198757764
62,include,0.25,10,175.0,298.0,0.587248322147651
62,include,0.25,6,45.0,47.0,0.9574468085106383
62,include,0.25,1,132.0,414.0,0.3188405797101449
62,include,0.25,11,0.0,0.0,
62,include,0.25,2,0.0,0.0,
62,include,0.25,17,758.0,3467.0,0.21863282376694548
62,include,0.25,18,1010.0,3117.0,0.32402951555983317
62,include,0.25,14,4.0,6.0,0.6666666666666666
62,include,0.25,13,115.0,129.0,0.8914728682170543
62,include,0.25,16,0.0,0.0,
62,include,0.25,23,206.0,372.0,0.553763440860215
62,include,0.25,19,1.0,59.0,0.01694915254237288
62,include,0.25,20,0.0,10.0,0.0
62,include,0.25,29,18.0,18.0,1.0
63,include,0.15,7,320.0,322.0,0.9937888198757764
63,include,0.15,10,212.0,298.0,0.7114093959731543
63,include,0.15,6,46.0,47.0,0.9787234042553191
63,include,0.15,1,189.0,414.0,0.45652173913043476
63,include,0.15,11,0.0,0.0,
63,include,0.15,2,0.0,0.0,
63,include,0.15,17,1944.0,3467.0,0.5607153158350159
63,include,0.15,18,1693.0,3117.0,0.5431504651908887
63,include,0.15,14,5.0,6.0,0.8333333333333334
63,include,0.15,13,120.0,129.0,0.9302325581395349
63,include,0.15,16,0.0,0.0,
63,include,0.15,23,327.0,372.0,0.8790322580645161
63,include,0.15,19,16.0,59.0,0.2711864406779661
63,include,0.15,20,0.0,10.0,0.0
63,include,0.15,29,18.0,18.0,1.0
65,include,0.2,7,320.0,322.0,0.9937888198757764
65,include,0.2,10,175.0,298.0,0.587248322147651
65,include,0.2,6,45.0,47.0,0.9574468085106383
65,include,0.2,1,162.0,414.0,0.391304347826087
65,include,0.2,11,0.0,0.0,
65,include,0.2,2,0.0,0.0,
65,include,0.2,17,1210.0,3467.0,0.3490049033746755
65,include,0.2,18,1264.0,3117.0,0.4055181264035932
65,include,0.2,14,5.0,6.0,0.8333333333333334
65,include,0.2,13,116.0,129.0,0.8992248062015504
65,include,0.2,16,0.0,0.0,
65,include,0.2,23,285.0,372.0,0.7661290322580645
65,include,0.2,19,5.0,59.0,0.0847457627118644
65,include,0.2,20,0.0,10.0,0.0
65,include,0.2,29,18.0,18.0,1.0
66,exclude,0.25,7,320.0,322.0,0.9937888198757764
66,exclude,0.25,10,175.0,298.0,0.587248322147651
66,exclude,0.25,6,45.0,47.0,0.9574468085106383
66,exclude,0.25,1,132.0,414.0,0.3188405797101449
66,exclude,0.25,11,0.0,0.0,
66,exclude,0.25,2,0.0,0.0,
66,exclude,0.25,17,758.0,3467.0,0.21863282376694548
66,exclude,0.25,18,1010.0,3117.0,0.32402951555983317
66,exclude,0.25,14,4.0,6.0,0.6666666666666666
66,exclude,0.25,13,115.0,129.0,0.8914728682170543
66,exclude,0.25,16,0.0,0.0,
66,exclude,0.25,23,206.0,372.0,0.553763440860215
66,exclude,0.25,19,1.0,59.0,0.01694915254237288
66,exclude,0.25,20,0.0,10.0,0.0
66,exclude,0.25,29,18.0,18.0,1.0
68,exclude,0.25,7,320.0,322.0,0.9937888198757764
68,exclude,0.25,10,175.0,298.0,0.587248322147651
68,exclude,0.25,6,45.0,47.0,0.9574468085106383
68,exclude,0.25,1,132.0,414.0,0.3188405797101449
68,exclude,0.25,11,0.0,0.0,
