member_id,arm,penalty,h,tau,K,M0,creep,has_par,log_penalty,is_exclude
36,exclude,92.9155423307,0.926002224185036,1.2,0.2,0.0746328291058555,0.005,True,4.531690933556236,1.0
37,include,21.5933637961,0.943029225334482,1.4,0.25,0.0664634974306444,0.025,False,3.0723860358227664,0.0
38,exclude,58.4414218479,0.852065874766007,1.4,0.25,0.0750330554653177,0.025,True,4.068024916632729,1.0
39,exclude,74.0151407234,0.913060344746047,1.2,0.25,0.0707338687749501,0.015,True,4.304269676645821,1.0
40,include,52.8331972036,0.924313504785243,1.3,0.15,0.062165477323398,0.025,True,3.9671397280578935,0.0
41,exclude,136.132583306,0.770846464986023,1.4,0.1,0.0616760560118878,0.01,True,4.913629288101837,1.0
42,include,49.4958595832,0.668842859607944,1.2,0.15,0.0600688525879382,0.025,True,3.9018890212923862,0.0
43,include,41.4864057296,0.869753079504006,1.4,0.2,0.0672550092674224,0.025,True,3.7253658007922468,0.0
44,include,87.7025508983,0.882576408745769,1.4,0.1,0.0901544630105169,0.01,True,4.47395098559481,0.0
45,include,63.2230356101,0.815170286195679,1.3,0.1,0.0626384444701712,0.005,True,4.146668722244961,0.0
46,include,161.841916258,0.850145674340893,1.4,0.2,0.116862143339407,0.015,True,5.0866200332367475,0.0
47,exclude,136.11702106,0.809073624120682,1.4,0.1,0.0715037092355716,0.025,True,4.913514964732639,1.0
48,include,24.8897022319,0.846196883620319,1.2,0.25,0.0684242425392203,0.02,False,3.2144541529451427,0.0
49,include,46.3684504402,0.893297570756611,1.3,0.3,0.0839239521820033,0.01,True,3.836619280553647,0.0
50,exclude,101.536370072,0.859436361940827,1.2,0.2,0.0796630006277552,0.02,True,4.620417060130985,1.0
51,exclude,80.7959590116,0.927719077431941,1.3,0.2,0.0606330983467594,0.015,True,4.391926952043723,1.0
52,include,38.8409400963,0.855809211216181,1.2,0.25,0.0762508468931672,0.02,True,3.6594748474633656,0.0
53,exclude,113.241329507,0.894810070821111,1.4,0.15,0.066062719171951,0.02,True,4.729521200787636,1.0
54,exclude,119.636961245,0.881015343303337,1.3,0.15,0.0758418522718568,0.02,True,4.784461834283382,1.0
55,exclude,124.172347525,0.757229334067595,1.3,0.15,0.0688107758960207,0.015,True,4.821670499984114,1.0
56,exclude,123.885124962,0.884128353828229,1.3,0.2,0.101683863103972,0.005,True,4.819354724623828,1.0
57,exclude,131.087279801,0.848190160242251,1.3,0.2,0.105366251201955,0.025,True,4.87586335937271,1.0
59,exclude,62.5229331274,0.725278314179954,1.4,0.25,0.077498842818223,0.005,False,4.135533419478392,1.0
